Combination,Wins,Losses,Total Games
"('Graves', 'Hwei', ""Kai'Sa"", 'Nautilus', 'Twisted Fate')",8,3,11
"('Jinx', 'Nautilus', 'Nidalee', 'Renekton', 'Tristana')",7,3,10
"('Azir', ""K'Sante"", ""Kai'Sa"", 'Pyke', 'Viego')",5,4,9
"('Hwei', ""Kai'Sa"", 'Kennen', 'Lee Sin', 'Rell')",4,5,9
"('Jax', 'Lulu', 'Nidalee', 'Yone', 'Zeri')",5,4,9
"('Cassiopeia', ""Kai'Sa"", 'Nautilus', 'Vex', 'Viego')",0,8,8
"(""Kai'Sa"", 'Rell', 'Rumble', 'Tristana', 'Viego')",8,0,8
"('Jayce', ""Kai'Sa"", 'Rell', 'Taliyah', 'Twisted Fate')",7,1,8
"('Corki', ""Kai'Sa"", 'Nautilus', 'Nidalee', 'Skarner')",5,3,8
"(""K'Sante"", 'Lulu', 'Nidalee', 'Tristana', 'Zeri')",8,0,8
"('Ashe', 'Lee Sin', 'Nautilus', 'Rumble', 'Tristana')",3,5,8
"('Jayce', ""Kai'Sa"", 'Nidalee', 'Rell', 'Yone')",2,6,8
"('Brand', 'Camille', 'Jinx', 'Thresh', 'Tristana')",5,3,8
"('Hecarim', 'Kled', 'LeBlanc', 'Lucian', 'Nami')",0,8,8
"(""K'Sante"", ""Kai'Sa"", 'Nautilus', 'Taliyah', 'Twisted Fate')",1,6,7
"('Jax', 'Nidalee', 'Rell', 'Tristana', 'Zeri')",4,3,7
"(""K'Sante"", ""Kai'Sa"", 'Lillia', 'Nautilus', 'Tristana')",1,6,7
"('Hwei', ""Kai'Sa"", 'Nautilus', 'Tryndamere', 'Viego')",5,2,7
"('Ashe', 'Kennen', 'Pyke', 'Taliyah', 'Tristana')",0,7,7
"(""Kai'Sa"", 'Nautilus', 'Renekton', 'Taliyah', 'Tristana')",3,4,7
"('Kalista', 'Nidalee', 'Rell', 'Skarner', 'Tristana')",7,0,7
"(""Kai'Sa"", 'Nautilus', 'Nidalee', 'Twisted Fate', 'Yone')",0,7,7
"('Hwei', ""K'Sante"", ""Kai'Sa"", 'Nidalee', 'Pyke')",7,0,7
"('Aatrox', ""Kai'Sa"", 'Nautilus', 'Nidalee', 'Tristana')",4,3,7
"('Irelia', ""Kai'Sa"", 'Kindred', 'LeBlanc', 'Rell')",4,2,6
"('Nautilus', 'Nidalee', 'Skarner', 'Tristana', 'Zeri')",0,6,6
"('Ashe', 'Corki', 'Gragas', 'Nautilus', 'Nidalee')",6,0,6
"('Galio', ""Kai'Sa"", 'Nautilus', 'Rumble', 'Viego')",2,4,6
"('Blitzcrank', 'Corki', 'Nidalee', 'Skarner', 'Smolder')",4,2,6
"('Blitzcrank', 'Corki', ""K'Sante"", 'Nidalee', 'Zeri')",0,6,6
"('Aphelios', 'Camille', 'Diana', 'Rell', 'Talon')",6,0,6
"('Ashe', 'Braum', 'Katarina', 'Nidalee', 'Renekton')",6,0,6
"('Aatrox', 'Alistar', 'Hwei', ""Kai'Sa"", 'Lee Sin')",6,0,6
"('Jax', 'Lillia', 'Rell', 'Tristana', 'Varus')",2,4,6
"('Ashe', 'Jhin', 'Kennen', 'Taliyah', 'Viego')",4,2,6
"('Akshan', 'Kalista', 'Neeko', 'Skarner', 'Taliyah')",0,6,6
"('Ashe', 'Lillia', 'Nautilus', 'Renekton', 'Tristana')",3,3,6
"('Jax', 'Lucian', 'Nami', 'Neeko', 'Viego')",6,0,6
"('Camille', ""Kai'Sa"", 'Nautilus', 'Rengar', 'Twisted Fate')",4,2,6
"('Gnar', 'Kalista', 'Lee Sin', 'Renata Glasc', 'Zac')",6,0,6
"('LeBlanc', 'Lee Sin', 'Rakan', 'Rumble', 'Varus')",1,5,6
"('Camille', ""Kai'Sa"", 'Nautilus', 'Nidalee', 'Yasuo')",0,6,6
"('Gnar', 'Graves', ""Kai'Sa"", 'Leona', 'Orianna')",4,2,6
"(""Kai'Sa"", 'Nautilus', 'Taliyah', 'Twisted Fate', 'Zed')",5,1,6
"('Ashe', 'Diana', 'Gnar', 'Lee Sin', 'Neeko')",6,0,6
"('Aphelios', 'Lee Sin', 'Skarner', 'Taliyah', 'Thresh')",0,6,6
"('Caitlyn', 'Elise', 'Jayce', 'Lux', 'Renekton')",3,3,6
"('Lee Sin', 'Lucian', 'Nami', 'Orianna', 'Tryndamere')",6,0,6
"('Ashe', 'Rell', 'Renekton', 'Taliyah', 'Tristana')",0,6,6
"('Hwei', ""Kai'Sa"", 'Lee Sin', 'Nautilus', 'Twisted Fate')",1,5,6
"('Ashe', 'Camille', 'LeBlanc', 'Lee Sin', 'Nautilus')",6,0,6
"('Graves', 'Hwei', ""Kai'Sa"", 'Kennen', 'Pyke')",6,0,6
"('Nautilus', 'Nidalee', 'Rumble', 'Varus', 'Yasuo')",4,2,6
"('Lillia', 'Rakan', 'Skarner', 'Tristana', 'Varus')",6,0,6
"('Corki', 'Jinx', 'Lee Sin', 'Nautilus', 'Rumble')",1,5,6
"('Hwei', 'Jarvan IV', 'Rakan', 'Urgot', 'Varus')",6,0,6
"('Camille', 'Galio', 'Jhin', 'Nidalee', 'Riven')",5,0,5
"('Camille', 'Fiddlesticks', 'Jinx', 'Nidalee', 'Zoe')",5,0,5
"('Jinx', 'Leona', 'Shyvana', 'Tristana', 'Warwick')",0,5,5
"('Galio', 'Jhin', 'Lee Sin', 'Renekton', 'Zoe')",0,5,5
"('Camille', 'Gnar', 'Kalista', 'Lillia', 'Tristana')",5,0,5
"('Irelia', 'Kalista', 'Nautilus', 'Nocturne', 'Taliyah')",0,5,5
"('Hwei', 'Jinx', 'Lillia', 'Rell', 'Renekton')",5,0,5
"('Hwei', 'Jinx', 'Nocturne', 'Thresh', 'Viego')",5,0,5
"('Jhin', 'Neeko', 'Renekton', 'Taliyah', 'Tristana')",0,5,5
"('Jinx', 'LeBlanc', 'Pantheon', 'Thresh', 'Urgot')",0,5,5
"('Jayce', 'Nidalee', 'Senna', 'Seraphine', 'Viego')",0,5,5
"('Akali', 'Gnar', 'Graves', 'Nilah', 'Skarner')",5,0,5
"('Gnar', ""Kai'Sa"", 'Katarina', 'Lillia', 'Thresh')",5,0,5
"(""Kai'Sa"", 'LeBlanc', 'Poppy', ""Rek'Sai"", 'Rell')",5,0,5
"(""K'Sante"", 'Katarina', 'Nautilus', 'Shaco', 'Varus')",0,5,5
"('Bard', 'Diana', 'Jax', 'Seraphine', 'Viego')",5,0,5
"('Ezreal', 'Lee Sin', 'Rell', 'Skarner', 'Syndra')",5,0,5
"('Aurelion Sol', ""Bel'Veth"", 'Rumble', 'Skarner', 'Zeri')",0,5,5
"('Aurelion Sol', 'Camille', 'Jhin', 'Rell', 'Vi')",5,0,5
"('Akali', 'Corki', 'Graves', 'Hwei', 'Tristana')",0,5,5
"(""Bel'Veth"", 'Renata Glasc', 'Rumble', 'Varus', 'Yone')",5,0,5
"('Jhin', 'Leona', 'Rumble', 'Taliyah', 'Viego')",5,0,5
"(""Kai'Sa"", 'Nidalee', 'Rell', 'Renekton', 'Tristana')",1,4,5
"(""Kai'Sa"", 'Kennen', ""Kha'Zix"", 'Poppy', 'Tristana')",5,0,5
"(""Kai'Sa"", 'Nautilus', 'Taliyah', 'Tristana', 'Twisted Fate')",5,0,5
"('Ahri', 'Karthus', 'Nautilus', 'Senna', 'Twisted Fate')",0,5,5
"('Jinx', 'Rumble', 'Thresh', 'Tristana', 'Viego')",5,0,5
"('Aphelios', 'Leona', 'Nidalee', 'Renekton', 'Tristana')",5,0,5
"('Ahri', 'Ashe', 'Blitzcrank', ""K'Sante"", 'Kindred')",5,0,5
"(""Bel'Veth"", 'Cassiopeia', 'Rumble', 'Tristana', 'Twisted Fate')",5,0,5
"('Bard', 'Camille', 'Katarina', 'Nidalee', 'Smolder')",0,5,5
"('Akali', 'Neeko', 'Varus', 'Viego', 'Zac')",5,0,5
"('Amumu', 'Sejuani', 'Tristana', 'Varus', 'Zac')",0,5,5
"('Alistar', 'Jax', ""Kai'Sa"", 'Pantheon', 'Twisted Fate')",5,0,5
"('Akali', 'Draven', 'Lillia', 'Lucian', 'Renata Glasc')",5,0,5
"('Hwei', ""Kai'Sa"", 'Nautilus', 'Olaf', 'Vi')",0,5,5
"('Pyke', 'Rengar', 'Syndra', 'Twisted Fate', 'Varus')",0,5,5
"('Ashe', 'Aurelion Sol', 'Braum', 'Graves', 'Renekton')",5,0,5
"('Jinx', 'Lulu', 'Orianna', ""Rek'Sai"", 'Viego')",5,0,5
"('Alistar', 'Ashe', 'Jax', 'Taliyah', 'Tristana')",0,5,5
"('Ashe', 'Corki', 'Gragas', 'Lillia', 'Seraphine')",0,5,5
"('Hecarim', 'Jax', ""Kai'Sa"", 'Rumble', 'Zed')",0,5,5
"('Braum', ""Kai'Sa"", 'Maokai', 'Rumble', 'Tristana')",5,0,5
"('Lillia', 'Rell', 'Rumble', 'Varus', 'Zed')",0,5,5
"(""Kai'Sa"", 'Nocturne', 'Poppy', 'Thresh', 'Twisted Fate')",5,0,5
"('Alistar', 'Irelia', ""Kai'Sa"", 'Maokai', 'Viktor')",0,5,5
"('Gnar', 'Rell', 'Shaco', 'Tristana', 'Varus')",5,0,5
"('Draven', 'Graves', 'Hwei', 'Jax', 'Nautilus')",5,0,5
"('Ashe', 'Gragas', 'Jarvan IV', 'Rumble', 'Tristana')",5,0,5
"('Ashe', 'Corki', 'Kennen', 'Pantheon', 'Viego')",0,5,5
"('Ashe', 'Aurelion Sol', 'Braum', 'Riven', 'Skarner')",5,0,5
"('Akali', 'Jax', 'Jhin', 'Neeko', 'Wukong')",0,5,5
"('Hwei', 'Jinx', 'Lee Sin', 'Rell', 'Urgot')",5,0,5
"('Aatrox', ""Kai'Sa"", 'Lillia', 'Nautilus', 'Tristana')",5,0,5
"('Ashe', 'Jax', 'Lee Sin', 'Skarner', 'Xerath')",0,5,5
"('Akali', 'Nunu & Willump', 'Rakan', 'Tristana', 'Zeri')",0,5,5
"('Camille', 'Rumble', 'Varus', 'Vi', 'Xerath')",5,0,5
"('Jayce', 'Maokai', 'Seraphine', 'Twisted Fate', 'Zeri')",0,5,5
"('Diana', 'Kennen', 'Nautilus', 'Rengar', 'Zeri')",5,0,5
"('Aatrox', 'Ashe', 'LeBlanc', 'Neeko', 'Viego')",5,0,5
"('Bard', 'Ezreal', 'Hecarim', 'Shen', 'Zoe')",5,0,5
"('Graves', 'Hwei', 'Twisted Fate', 'Varus', 'Vayne')",5,0,5
"('Camille', 'Galio', 'Graves', ""Kai'Sa"", 'Leona')",5,0,5
"('Gragas', ""Kai'Sa"", 'Lee Sin', 'Nautilus', 'Qiyana')",5,0,5
"('Brand', 'Camille', 'Jayce', ""Kai'Sa"", 'Riven')",5,0,5
"('Draven', 'Kled', 'Nidalee', 'Rell', 'Tristana')",0,5,5
"('Jinx', 'Rell', 'Renekton', 'Taliyah', 'Talon')",5,0,5
"('Akshan', 'Camille', 'Corki', 'Hecarim', 'Rumble')",0,5,5
"('Aphelios', 'Hwei', 'Rell', 'Udyr', 'Vladimir')",0,5,5
"('Braum', 'Ezreal', 'Jayce', 'Rumble', 'Zyra')",5,0,5
"('Ashe', 'Braum', 'Galio', 'Jax', 'Udyr')",5,0,5
"('Corki', 'Kennen', 'Pyke', 'Taliyah', 'Tristana')",5,0,5
"('Ekko', 'Galio', 'Kennen', 'Tristana', 'Viego')",0,5,5
"('Alistar', 'Ashe', 'Jayce', 'Nidalee', 'Tristana')",5,0,5
"('Caitlyn', 'Hwei', 'Karma', 'Rell', 'Xin Zhao')",0,5,5
"('Alistar', 'Camille', ""Kai'Sa"", 'Twisted Fate', 'Vi')",5,0,5
"('Alistar', 'Galio', ""Kai'Sa"", 'Viego', 'Vladimir')",5,0,5
"('Alistar', 'LeBlanc', ""Rek'Sai"", 'Renekton', 'Zeri')",5,0,5
"('Ashe', 'Braum', 'Tahm Kench', 'Taliyah', 'Tristana')",0,5,5
"('Lillia', 'Lucian', 'Rumble', 'Skarner', 'Tristana')",5,0,5
"('Diana', 'Irelia', 'Jinx', 'Sejuani', 'Seraphine')",5,0,5
"('Bard', 'Jhin', 'Rumble', 'Talon', 'Yone')",0,5,5
"('Nautilus', 'Pantheon', 'Renekton', 'Taliyah', 'Varus')",5,0,5
"('Caitlyn', 'Camille', ""K'Sante"", 'Lillia', 'Syndra')",5,0,5
"('Brand', 'Rell', 'Twisted Fate', 'Twitch', 'Yone')",0,5,5
"('Akshan', 'Camille', 'Pyke', 'Zeri', 'Zyra')",0,5,5
"('Braum', 'Qiyana', 'Rumble', 'Taliyah', 'Twisted Fate')",5,0,5
"('Ekko', 'Gwen', 'Hecarim', 'Rell', 'Zeri')",5,0,5
"('Aatrox', 'Jhin', ""Kha'Zix"", 'Nautilus', 'Swain')",0,5,5
"('Hwei', ""Kai'Sa"", 'Lee Sin', 'Rell', 'Skarner')",5,0,5
"('Aatrox', 'Ashe', ""Bel'Veth"", 'Taliyah', 'Varus')",0,5,5
"('Gragas', 'Nocturne', 'Rell', 'Samira', 'Twisted Fate')",0,5,5
"('Jinx', ""K'Sante"", 'Nautilus', 'Syndra', 'Taliyah')",5,0,5
"('Camille', 'LeBlanc', 'Skarner', 'Smolder', 'Vi')",0,5,5
"('Akali', 'Ashe', 'Blitzcrank', 'Cassiopeia', 'Graves')",5,0,5
"('Graves', 'Hwei', 'Leona', 'Vladimir', 'Zeri')",5,0,5
"('Camille', 'Nidalee', 'Rell', 'Tristana', 'Zeri')",0,5,5
"('Galio', ""Kai'Sa"", 'Kennen', 'Qiyana', 'Sejuani')",5,0,5
"(""Kai'Sa"", 'Lillia', 'Neeko', 'Sion', 'Tristana')",0,5,5
"('Hwei', ""Kai'Sa"", 'Katarina', 'Nidalee', 'Nocturne')",5,0,5
"('Ashe', 'Kindred', 'Orianna', 'Seraphine', 'Skarner')",5,0,5
"(""Kai'Sa"", 'Lillia', 'Nautilus', 'Skarner', 'Tristana')",0,5,5
"('Azir', 'Nilah', 'Rumble', 'Talon', 'Taric')",0,5,5
"('Dr. Mundo', 'Graves', 'Hwei', 'Nautilus', 'Varus')",5,0,5
"('Ashe', 'Graves', 'Janna', 'LeBlanc', 'Rumble')",0,5,5
"('Ashe', 'Blitzcrank', 'Rumble', 'Tristana', 'Udyr')",5,0,5
"('Annie', 'Jhin', 'Skarner', 'Taric', 'Viego')",5,0,5
"('Graves', 'Hwei', 'Jayce', 'Jhin', 'Nautilus')",5,0,5
"('Corki', 'Gragas', 'Rakan', 'Riven', 'Yasuo')",5,0,5
"('Hwei', 'Lee Sin', 'Nautilus', 'Riven', 'Varus')",0,5,5
"(""Kog'Maw"", 'Leona', 'Nidalee', 'Rumble', 'Tristana')",0,5,5
"('Ashe', 'Nautilus', 'Riven', 'Taliyah', 'Tristana')",5,0,5
"('Jhin', ""K'Sante"", 'Karma', 'Taliyah', 'Tristana')",5,0,5
"('Corki', 'Hwei', ""K'Sante"", 'Pyke', ""Rek'Sai"")",5,0,5
"('Aphelios', 'Blitzcrank', 'Jayce', 'Lillia', 'Zac')",5,0,5
"('Aatrox', ""Kai'Sa"", 'Nautilus', ""Rek'Sai"", 'Zoe')",5,0,5
"('Bard', 'Pantheon', 'Twisted Fate', 'Varus', 'Ziggs')",5,0,5
"('Braum', 'Ezreal', 'Lee Sin', 'Skarner', 'Zoe')",5,0,5
"('Brand', 'Draven', 'Renata Glasc', 'Urgot', 'Viego')",0,5,5
"('Hwei', ""K'Sante"", ""Kai'Sa"", 'Lillia', 'Tristana')",0,5,5
"('Nautilus', 'Nidalee', 'Samira', 'Tristana', 'Twisted Fate')",5,0,5
"('Azir', 'Kindred', 'Ornn', 'Senna', 'Swain')",5,0,5
"('Aphelios', 'Kindred', 'Shen', 'Thresh', 'Twisted Fate')",5,0,5
"('Gnar', 'Graves', 'Lux', 'Rumble', 'Varus')",0,5,5
"('Irelia', ""Kai'Sa"", 'Katarina', 'Master Yi', 'Poppy')",0,5,5
"(""Kai'Sa"", 'Rakan', 'Skarner', 'Viego', 'Zoe')",5,0,5
"('Aphelios', 'Graves', 'Hwei', 'Rakan', 'Skarner')",0,5,5
"('Ahri', 'Aphelios', 'Lee Sin', 'Leona', 'Vladimir')",0,5,5
"('Ashe', 'Brand', 'Seraphine', 'Tristana', 'Twisted Fate')",5,0,5
"('Aatrox', 'Akali', 'Alistar', 'Graves', 'Varus')",0,5,5
"('Corki', 'Morgana', 'Taliyah', 'Volibear', 'Zeri')",0,5,5
"('Aurelion Sol', ""K'Sante"", 'Nautilus', 'Talon', 'Varus')",5,0,5
"('Braum', 'Camille', 'Jayce', ""Kog'Maw"", 'Taliyah')",5,0,5
"(""Kai'Sa"", 'Lillia', 'Pyke', 'Syndra', 'Tryndamere')",5,0,5
"('Aphelios', 'Kindred', 'Rakan', 'Twisted Fate', 'Zac')",5,0,5
"('Pyke', 'Rumble', 'Smolder', 'Tristana', 'Varus')",5,0,5
"('Cassiopeia', 'Janna', 'Jhin', 'Nidalee', 'Zed')",0,5,5
"('Diana', 'Irelia', 'Jhin', ""Kha'Zix"", 'Neeko')",0,5,5
"('Diana', 'Janna', 'Renekton', 'Smolder', 'Viego')",0,5,5
"('Galio', ""Rek'Sai"", 'Rell', 'Xayah', 'Zac')",5,0,5
"(""Kai'Sa"", 'Nautilus', 'Nidalee', 'Skarner', 'Tristana')",0,5,5
"(""Kai'Sa"", 'LeBlanc', 'Lee Sin', 'Pantheon', 'Tryndamere')",5,0,5
"('Elise', 'Jax', 'Jinx', 'Nautilus', 'Tristana')",0,5,5
"('Ashe', 'Corki', 'Diana', 'Rumble', 'Yasuo')",5,0,5
"('Bard', 'Kindred', 'Rumble', 'Tristana', 'Varus')",5,0,5
"('Caitlyn', 'Camille', 'Corki', 'Karthus', 'Lux')",0,5,5
"('Hecarim', 'Kennen', 'Yasuo', 'Yuumi', 'Zeri')",5,0,5
"('Gragas', 'Rakan', 'Rumble', 'Talon', 'Zeri')",5,0,5
"('Ashe', 'Gragas', 'LeBlanc', 'Nautilus', 'Viego')",5,0,5
"('Rakan', 'Rumble', 'Tristana', 'Viego', 'Zeri')",5,0,5
"('Akshan', 'Ekko', ""Kai'Sa"", 'Leona', 'Skarner')",0,5,5
"('Jinx', 'Nidalee', 'Rell', 'Renekton', 'Warwick')",5,0,5
"('Azir', 'Jhin', 'Master Yi', 'Nautilus', 'Nunu & Willump')",5,0,5
"('Aphelios', ""K'Sante"", 'Nautilus', 'Tristana', 'Zac')",0,5,5
"('Gwen', 'Jayce', 'Jhin', 'Lillia', 'Rell')",0,5,5
"('Hwei', 'Jinx', 'Milio', 'Skarner', 'Viego')",5,0,5
"('Annie', ""Kai'Sa"", 'Pyke', 'Renekton', 'Viego')",0,5,5
"('Ekko', 'Jax', 'Leona', 'Miss Fortune', 'Tristana')",5,0,5
"('Jayce', 'Nilah', 'Taliyah', 'Taric', 'Twisted Fate')",5,0,5
"('Camille', 'Hwei', 'Jhin', ""Rek'Sai"", 'Rumble')",5,0,5
"('Ashe', 'Lee Sin', 'Rakan', 'Rumble', 'Sett')",0,5,5
"('Graves', 'Karma', 'Skarner', 'Syndra', 'Varus')",5,0,5
"('Corki', 'Orianna', 'Pantheon', 'Rell', 'Yone')",5,0,5
"(""K'Sante"", ""Kai'Sa"", 'Karthus', 'Nautilus', 'Tristana')",2,3,5
"('Annie', 'Darius', ""Kai'Sa"", 'Rell', 'Taliyah')",5,0,5
"('Draven', 'Quinn', 'Rakan', 'Zed', 'Zyra')",5,0,5
"('Lillia', 'Lulu', 'Poppy', 'Yasuo', 'Zeri')",5,0,5
"('Ashe', 'Diana', 'Gragas', 'Nautilus', 'Viego')",0,5,5
"('Ashe', 'Camille', 'Corki', 'Gragas', 'Zilean')",0,5,5
"('Kindred', 'Neeko', 'Ornn', 'Vayne', 'Yasuo')",5,0,5
"('Ahri', 'Jinx', 'Nautilus', 'Renekton', 'Skarner')",5,0,5
"('Gragas', 'Jinx', 'Olaf', 'Thresh', 'Twisted Fate')",5,0,5
"('Blitzcrank', 'Camille', ""Kai'Sa"", 'Taliyah', 'Tristana')",0,5,5
"('Azir', 'Jinx', 'Kindred', 'Skarner', 'Thresh')",5,0,5
"(""Kai'Sa"", 'Kindred', 'Nautilus', 'Ryze', 'Skarner')",5,0,5
"(""Kai'Sa"", 'Lillia', 'Nautilus', 'Tristana', 'Tryndamere')",5,0,5
"('Diana', ""Kha'Zix"", 'Pyke', 'Rumble', 'Zeri')",0,5,5
"('Hwei', ""K'Sante"", 'Kindred', 'Rell', 'Zeri')",5,0,5
"('Hwei', 'Jhin', ""K'Sante"", 'Neeko', 'Viego')",0,5,5
"('Graves', ""Kai'Sa"", 'Orianna', 'Renata Glasc', 'Shen')",5,0,5
"('Camille', 'Galio', ""Kai'Sa"", 'Ornn', 'Pantheon')",0,5,5
"('Hwei', 'Lulu', 'Renekton', 'Taliyah', 'Vayne')",0,5,5
"('Alistar', 'Corki', 'Gnar', ""Kai'Sa"", 'Nidalee')",5,0,5
"('Ashe', 'Diana', 'Graves', 'Jhin', 'Twisted Fate')",5,0,5
"('Gragas', ""K'Sante"", 'LeBlanc', 'Nidalee', 'Tristana')",0,5,5
"('Camille', 'Corki', 'Graves', 'Nocturne', 'Zoe')",5,0,5
"('LeBlanc', 'Pantheon', 'Rell', 'Skarner', 'Zeri')",5,0,5
"('Akali', 'Ezreal', 'Graves', 'Rell', 'Ryze')",0,5,5
"('Lee Sin', 'Nautilus', 'Skarner', 'Varus', 'Zoe')",0,5,5
"('Graves', 'Jinx', 'LeBlanc', 'Nautilus', 'Viego')",5,0,5
"('Akali', 'Blitzcrank', 'Graves', 'Varus', 'Warwick')",5,0,5
"('Ahri', 'Ashe', 'Graves', 'Jax', 'Pyke')",5,0,5
"('Jinx', 'Ornn', ""Rek'Sai"", 'Rell', 'Yasuo')",5,0,5
"('Karthus', 'Lulu', 'Rakan', 'Yone', 'Zeri')",0,5,5
"('Lillia', 'Pantheon', 'Rell', 'Renekton', 'Zeri')",5,0,5
"('Ashe', 'Gwen', 'Karma', 'Skarner', 'Viego')",0,5,5
"('Camille', 'Nidalee', 'Rell', 'Varus', 'Yasuo')",5,0,5
"('Diana', 'Ornn', 'Rakan', 'Yasuo', 'Zeri')",0,5,5
"('Lucian', 'Nami', 'Skarner', 'Syndra', 'Viego')",0,5,5
"('Karma', 'Twisted Fate', 'Varus', 'Vex', 'Vi')",5,0,5
"('Gnar', 'Hecarim', 'Hwei', 'Rakan', 'Twitch')",5,0,5
"('Ahri', 'Jax', 'Poppy', ""Rek'Sai"", 'Varus')",5,0,5
"('Ashe', 'Braum', 'Camille', 'Hwei', 'Pantheon')",5,0,5
"('Hwei', 'Renekton', 'Sivir', 'Taliyah', 'Tristana')",0,5,5
"('Alistar', 'Ekko', 'Lee Sin', 'Twisted Fate', 'Viego')",5,0,5
"('Camille', 'Gangplank', 'Kalista', 'Taliyah', 'Tristana')",0,5,5
"('Bard', 'Brand', 'Camille', 'Jinx', 'Tristana')",5,0,5
"('Ahri', ""Kai'Sa"", 'Kennen', 'Kindred', 'Thresh')",5,0,5
"('Ashe', 'Gragas', 'Hecarim', 'Seraphine', 'Yasuo')",0,5,5
"('Azir', 'Kindred', 'Nautilus', 'Nilah', 'Skarner')",5,0,5
"('Kindred', 'Lulu', 'Rumble', 'Tristana', 'Twitch')",0,5,5
"('Braum', 'Ekko', 'Renekton', 'Tristana', 'Zeri')",0,5,5
"('Blitzcrank', 'Lux', 'Viego', 'Vladimir', 'Xayah')",5,0,5
"('Ahri', 'Cassiopeia', 'Jhin', 'Pantheon', 'Zyra')",0,5,5
"('Annie', 'Fiora', 'Hwei', 'Varus', 'Viego')",0,5,5
"('Ashe', 'Hecarim', 'Leona', 'Rumble', 'Yone')",5,0,5
"('Gragas', 'Graves', 'Hwei', ""Kai'Sa"", 'Rell')",5,0,5
"(""Kog'Maw"", 'Lee Sin', 'Rell', 'Smolder', 'Tristana')",5,0,5
"('Cassiopeia', 'Jhin', 'Rakan', 'Rumble', 'Vi')",5,0,5
"('Nidalee', 'Rumble', 'Senna', 'Tahm Kench', 'Tristana')",5,0,5
"('Ahri', ""K'Sante"", 'Nautilus', 'Taliyah', 'Twitch')",5,0,5
"('Graves', 'Hwei', 'Kalista', 'Nasus', 'Taric')",5,0,5
"(""Kai'Sa"", 'Pantheon', 'Rell', 'Renekton', 'Taliyah')",3,2,5
"('Aatrox', 'Fiddlesticks', 'Pyke', 'Tristana', 'Twitch')",5,0,5
"('Hwei', 'Jax', ""Kog'Maw"", 'Nautilus', 'Viego')",5,0,5
"('Blitzcrank', 'Cassiopeia', 'Graves', 'Skarner', 'Twitch')",0,5,5
"('Cassiopeia', 'Graves', 'LeBlanc', 'Pyke', 'Zeri')",5,0,5
"('Akshan', 'Alistar', 'Camille', 'Draven', 'Nidalee')",5,0,5
"(""Cho'Gath"", 'Jax', 'Pantheon', 'Pyke', 'Zed')",5,0,5
"('Jarvan IV', 'Lulu', 'Nocturne', 'Zed', 'Zeri')",0,5,5
"('Corki', 'Jax', 'Lillia', 'Rell', 'Zeri')",5,0,5
"('Fiddlesticks', 'Fiora', ""Kai'Sa"", 'Rell', 'Yone')",5,0,5
"('Ahri', 'Gwen', 'Jinx', 'Nautilus', 'Viego')",4,1,5
"('Brand', 'Jax', 'Nautilus', 'Yone', 'Zeri')",5,0,5
"('Ashe', 'Graves', 'Hwei', ""K'Sante"", 'Rakan')",0,5,5
"('Diana', ""Kai'Sa"", 'Pyke', 'Rengar', 'Rumble')",5,0,5
"('Corki', 'Nautilus', 'Nidalee', 'Poppy', 'Yone')",5,0,5
"('Diana', 'Hwei', 'Lee Sin', 'Skarner', 'Zeri')",5,0,5
"(""K'Sante"", 'Skarner', 'Taliyah', 'Tristana', 'Varus')",5,0,5
"('Akali', 'Kalista', 'Rell', 'Talon', 'Twisted Fate')",0,5,5
"('Aatrox', 'Caitlyn', ""K'Sante"", 'Leona', 'Lillia')",0,5,5
"('Cassiopeia', 'Kalista', 'Lillia', 'Poppy', 'Tristana')",0,5,5
"('Corki', 'Draven', 'Morgana', 'Nidalee', 'Pantheon')",5,0,5
