Combination,Wins,Losses,Total Games
"(""Kai'Sa"", 'Kled', 'Rell', ""Vel'Koz"", 'Vi')",0,3,3
"('Jax', 'Orianna', 'Senna', 'Volibear', 'Zeri')",0,3,3
"('Alistar', 'Lillia', 'Pantheon', 'Rumble', 'Zeri')",3,0,3
"(""Kai'Sa"", 'Nautilus', 'Nidalee', 'Pantheon', 'Yasuo')",3,0,3
"('Aatrox', 'Graves', 'Nilah', 'Senna', 'Twisted Fate')",3,0,3
"('Draven', 'Renekton', 'Taliyah', 'Thresh', 'Twisted Fate')",3,0,3
"('Camille', 'Pantheon', 'Skarner', 'Smolder', 'Taliyah')",3,0,3
"('Cassiopeia', 'Corki', 'Graves', 'Nautilus', 'Tristana')",3,0,3
"('Ekko', 'Jinx', 'Rell', 'Rumble', 'Yasuo')",0,3,3
"('Ahri', 'Draven', 'Graves', 'Jax', 'Skarner')",3,0,3
"('Alistar', ""Bel'Veth"", 'Hwei', 'Renekton', 'Varus')",3,0,3
"('Ashe', 'Hwei', 'Renata Glasc', 'Skarner', 'Sylas')",3,0,3
"('Rakan', 'Rumble', 'Twisted Fate', 'Varus', 'Viego')",3,0,3
"('Corki', 'Darius', 'Nautilus', 'Neeko', 'Viego')",3,0,3
"('Lee Sin', 'Leona', 'Rumble', 'Tristana', 'Zeri')",0,3,3
"('Aphelios', 'Hwei', 'Nautilus', 'Skarner', 'Viego')",0,3,3
"('Galio', 'Lee Sin', 'Nautilus', 'Rumble', 'Varus')",0,3,3
"('Akali', 'Gnar', 'Rell', 'Varus', 'Wukong')",0,3,3
"('Aurelion Sol', 'Camille', 'Jhin', 'Kindred', 'Olaf')",0,3,3
"('Ashe', 'Kalista', 'Malzahar', 'Pantheon', 'Rumble')",0,3,3
"('Aatrox', 'Corki', 'Graves', 'Nautilus', 'Xerath')",3,0,3
"('Rakan', 'Taliyah', 'Tristana', 'Varus', 'Warwick')",3,0,3
"('Hwei', 'Nilah', 'Pantheon', 'Rumble', 'Wukong')",0,3,3
"('Camille', ""Kai'Sa"", 'Rell', 'Taliyah', 'Yone')",3,0,3
"('Camille', 'Hecarim', ""Kai'Sa"", 'LeBlanc', 'Nautilus')",3,0,3
"('Lee Sin', 'Nautilus', 'Ornn', 'Twitch', 'Zoe')",3,0,3
"('Camille', 'LeBlanc', 'Lee Sin', 'Rell', 'Zeri')",3,0,3
"('Ashe', 'Lillia', 'Lulu', 'Twisted Fate', 'Yone')",0,3,3
"('Irelia', 'Jax', 'Kalista', 'Poppy', 'Taliyah')",3,0,3
"('Corki', 'Jayce', 'Milio', 'Rumble', 'Taliyah')",3,0,3
"('Fiora', 'LeBlanc', 'Lucian', 'Nami', 'Skarner')",3,0,3
"('Caitlyn', 'Jayce', ""Rek'Sai"", 'Seraphine', 'Zoe')",0,3,3
"('Jinx', ""Rek'Sai"", 'Rell', 'Twisted Fate', 'Veigar')",3,0,3
"('Jhin', 'Nautilus', 'Pantheon', 'Taliyah', 'Viego')",0,3,3
"('Akshan', 'Gragas', ""K'Sante"", 'Kalista', 'Leona')",3,0,3
"('Annie', 'Irelia', 'Kled', 'Skarner', 'Smolder')",3,0,3
"('Aatrox', 'Lee Sin', 'Seraphine', 'Syndra', 'Zeri')",0,3,3
"('Aurelion Sol', 'Corki', 'Lee Sin', 'Rakan', 'Skarner')",0,3,3
"('Caitlyn', 'Nautilus', 'Rumble', 'Taliyah', 'Talon')",3,0,3
"('Ashe', 'Corki', 'Gragas', 'Jayce', 'Pantheon')",0,3,3
"('Akali', 'Brand', 'Braum', 'Darius', 'Jinx')",3,0,3
"('Brand', 'Caitlyn', 'Jax', 'Lux', 'Tristana')",0,3,3
"('Caitlyn', 'Kennen', 'Lux', 'Skarner', 'Tristana')",3,0,3
"('Aatrox', 'Azir', 'Caitlyn', 'Pyke', 'Viego')",3,0,3
"('Brand', 'Corki', 'Jax', 'Nautilus', 'Pantheon')",3,0,3
"('Draven', 'Jayce', 'Nidalee', 'Ornn', 'Senna')",3,0,3
"('Aatrox', 'Lee Sin', 'Nautilus', 'Syndra', 'Varus')",0,3,3
"('Aphelios', 'Jayce', 'Nautilus', 'Nidalee', 'Tristana')",0,3,3
"('Ahri', 'Elise', 'Jinx', 'Poppy', 'Thresh')",3,0,3
"('Corki', 'Maokai', 'Neeko', 'Nidalee', 'Varus')",0,3,3
"('Draven', 'Leona', 'Nidalee', 'Poppy', 'Tryndamere')",3,0,3
"('Gwen', 'Lucian', 'Seraphine', 'Taric', 'Vayne')",3,0,3
"('Ashe', ""K'Sante"", 'Pyke', 'Taliyah', 'Tristana')",3,0,3
"('Gragas', ""Kai'Sa"", 'Rell', 'Skarner', 'Syndra')",3,0,3
"('Graves', 'Nautilus', 'Renekton', 'Varus', ""Vel'Koz"")",3,0,3
"('Akshan', 'Braum', 'Taliyah', 'Warwick', 'Zeri')",3,0,3
"('Corki', 'Lee Sin', 'Poppy', 'Skarner', 'Twisted Fate')",0,3,3
"('Ashe', 'Kalista', 'Nidalee', 'Rumble', 'Yone')",0,3,3
"('Aphelios', 'Nautilus', 'Nidalee', 'Urgot', 'Yone')",3,0,3
"('Draven', 'Neeko', 'Nidalee', 'Pantheon', 'Tristana')",3,0,3
"(""Bel'Veth"", 'Hwei', 'Jinx', 'Thresh', 'Twisted Fate')",3,0,3
"('Jax', 'Nocturne', 'Rumble', 'Varus', 'Vex')",3,0,3
"('Galio', 'Jayce', ""Kog'Maw"", 'Pantheon', 'Taliyah')",3,0,3
"('Gragas', 'Hwei', ""Kai'Sa"", 'Rakan', 'Viego')",3,0,3
"('Ekko', 'Jhin', 'Rakan', 'Skarner', 'Tristana')",3,0,3
"('Alistar', 'Cassiopeia', ""Kai'Sa"", 'Lee Sin', 'Malzahar')",0,3,3
"('Graves', 'Hwei', 'Jhin', 'Seraphine', 'Vayne')",0,3,3
"('Akshan', ""K'Sante"", 'Kalista', 'Karthus', 'Rakan')",0,3,3
"('Corki', 'Jax', 'Nautilus', 'Taliyah', 'Varus')",0,3,3
"('Ashe', 'Braum', 'Rumble', 'Viego', 'Yone')",0,3,3
"('Corki', 'Nautilus', 'Rengar', 'Taliyah', 'Varus')",3,0,3
"('Akali', 'Graves', ""Kog'Maw"", 'Milio', 'Tristana')",0,3,3
"('Hwei', 'Jinx', 'Poppy', 'Taric', 'Vayne')",0,3,3
"('LeBlanc', 'Rumble', 'Shaco', 'Varus', 'Volibear')",0,3,3
"('Graves', 'Jhin', 'Kennen', 'Orianna', 'Zyra')",0,3,3
"('Jayce', ""Kai'Sa"", 'Karthus', 'Rell', 'Udyr')",0,3,3
"('Ashe', 'Camille', 'Seraphine', 'Taliyah', 'Tristana')",0,3,3
"('Alistar', 'Ashe', 'Hwei', 'Nidalee', 'Skarner')",3,0,3
"('Akali', 'Ashe', 'Irelia', 'Lee Sin', 'Varus')",3,0,3
"('Mordekaiser', 'Nautilus', 'Samira', 'Taliyah', 'Tristana')",0,3,3
"('Hwei', ""K'Sante"", 'Kindred', 'Rell', 'Varus')",3,0,3
"('Akali', 'Irelia', 'Lee Sin', 'Rumble', 'Varus')",0,3,3
"('Corki', 'Darius', 'Lillia', 'Rell', 'Tristana')",3,0,3
"(""Kai'Sa"", 'Nautilus', 'Skarner', 'Taliyah', 'Yone')",3,0,3
"('Blitzcrank', 'Hwei', 'Jayce', ""Kai'Sa"", 'Skarner')",3,0,3
"('Ahri', 'Ashe', 'Graves', 'Rumble', 'Twisted Fate')",3,0,3
"('Camille', 'Corki', 'Kalista', 'Neeko', 'Nidalee')",0,3,3
"('Alistar', 'Karthus', 'Nilah', 'Viego', 'Zac')",3,0,3
"('Caitlyn', 'Hwei', ""Kha'Zix"", 'Morgana', 'Twisted Fate')",3,0,3
"('Bard', 'Caitlyn', 'Nidalee', 'Tristana', 'Wukong')",0,3,3
"('Corki', 'Jax', 'Karthus', 'Rakan', 'Tristana')",0,3,3
"('Aurelion Sol', 'Caitlyn', ""K'Sante"", 'Rumble', 'Viego')",0,3,3
"('Blitzcrank', ""Kai'Sa"", 'Renekton', 'Taliyah', 'Yasuo')",0,3,3
"('Jhin', 'Karma', 'Lillia', 'Xin Zhao', 'Zed')",0,3,3
"('Caitlyn', 'Lux', 'Taliyah', 'Tristana', 'Yone')",0,3,3
"('Akshan', 'Braum', 'Caitlyn', 'Hwei', 'Wukong')",3,0,3
"('Blitzcrank', 'Corki', ""K'Sante"", 'Skarner', 'Twisted Fate')",3,0,3
"('Ahri', 'Caitlyn', ""K'Sante"", 'Rengar', 'Skarner')",0,3,3
"('Braum', 'Gragas', 'Jax', 'Jinx', 'Malzahar')",3,0,3
"('Ezreal', 'Karma', 'LeBlanc', 'Lee Sin', 'Vayne')",0,3,3
"('Ezreal', 'Rell', 'Renekton', 'Skarner', 'Taliyah')",3,0,3
"('Ashe', 'Caitlyn', 'Dr. Mundo', 'Twisted Fate', 'Zac')",3,0,3
"('Ashe', 'Cassiopeia', 'Fiddlesticks', 'Katarina', 'Rumble')",3,0,3
"('Blitzcrank', 'Brand', 'Camille', 'Jinx', 'Tristana')",0,3,3
"('Jayce', 'Jinx', 'Skarner', 'Taliyah', 'Thresh')",0,3,3
"('Hwei', 'Jayce', 'Jhin', 'Karthus', 'Renekton')",3,0,3
"('Blitzcrank', 'Jax', 'LeBlanc', 'Varus', 'Viego')",0,3,3
"('Ashe', 'Fiddlesticks', 'Katarina', 'Maokai', 'Nautilus')",3,0,3
"('Katarina', 'Leona', 'Nidalee', 'Rengar', 'Varus')",0,3,3
"('Galio', 'Katarina', 'Nautilus', ""Rek'Sai"", 'Zeri')",3,0,3
"('Jinx', 'Senna', 'Skarner', 'Tristana', 'Zac')",3,0,3
"('Ashe', 'Hecarim', 'Katarina', 'Pyke', 'Renekton')",0,3,3
"(""K'Sante"", 'Katarina', 'Nunu & Willump', 'Thresh', 'Varus')",0,3,3
"('Braum', 'Jax', 'Jayce', 'Lucian', 'Zac')",3,0,3
"('Ahri', 'Ashe', 'Ivern', 'Jhin', 'Sett')",0,3,3
"('Ashe', 'Azir', 'Braum', 'Renekton', 'Zac')",0,3,3
"('Ezreal', 'Irelia', 'Nautilus', 'Rumble', 'Shaco')",0,3,3
"('Azir', 'Camille', 'Jhin', 'Lillia', 'Warwick')",0,3,3
"('Bard', 'Caitlyn', 'Hwei', 'Jayce', 'Lee Sin')",3,0,3
"('Camille', 'Gragas', 'Lucian', 'Pyke', 'Twisted Fate')",3,0,3
"('Ashe', 'Garen', 'Katarina', 'Nautilus', 'Vi')",0,3,3
"('Ahri', 'Hwei', ""Rek'Sai"", 'Rumble', 'Varus')",0,3,3
"('Ahri', 'Blitzcrank', 'Draven', 'Ryze', 'Viego')",0,3,3
"('Ashe', 'Camille', 'Diana', 'Graves', 'Illaoi')",0,3,3
"('Aphelios', 'Nidalee', 'Renekton', 'Seraphine', 'Tristana')",3,0,3
"('Blitzcrank', 'Renekton', 'Shaco', 'Tristana', 'Ziggs')",3,0,3
"('Gwen', 'Katarina', 'Rell', 'Skarner', 'Varus')",3,0,3
"('Ashe', 'Graves', 'LeBlanc', 'Olaf', 'Seraphine')",3,0,3
"('Aphelios', 'Katarina', ""Kha'Zix"", 'Milio', 'Rumble')",0,3,3
"('Aatrox', 'Ashe', 'Lucian', 'Rumble', 'Zac')",0,3,3
"('Katarina', 'Lillia', 'Skarner', 'Tryndamere', 'Zeri')",3,0,3
"('Aatrox', 'Lissandra', 'Rell', 'Varus', 'Viego')",3,0,3
"('Ashe', 'Darius', 'Katarina', 'Leona', 'Nidalee')",0,3,3
"('Lissandra', 'Nidalee', 'Skarner', 'Soraka', 'Zeri')",0,3,3
"('Alistar', 'Jhin', 'Katarina', 'Lee Sin', 'Rumble')",0,3,3
"('Jinx', 'Nidalee', 'Riven', 'Thresh', 'Tristana')",3,0,3
"('Cassiopeia', 'Karthus', 'Seraphine', 'Varus', 'Yone')",3,0,3
"('Akali', 'Ashe', 'Skarner', 'Varus', 'Viego')",3,0,3
"('Aphelios', ""K'Sante"", 'Pantheon', 'Seraphine', 'Taliyah')",3,0,3
"('Jinx', 'Katarina', 'Lulu', 'Poppy', 'Viego')",3,0,3
"('Corki', ""K'Sante"", 'Thresh', 'Varus', 'Zac')",0,3,3
"('Camille', 'Hwei', 'Kindred', 'Rell', 'Varus')",0,3,3
"('Braum', 'Rengar', 'Rumble', 'Varus', 'Yone')",0,3,3
"('Caitlyn', 'Diana', 'Gragas', 'Qiyana', 'Taric')",0,3,3
"('Diana', ""Kai'Sa"", 'Rell', 'Renekton', 'Yone')",0,3,3
"('Jinx', 'Lux', 'Poppy', 'Rakan', 'Zac')",3,0,3
"('Ashe', 'Jax', 'Thresh', 'Tristana', 'Zac')",0,3,3
"('Aatrox', ""Kai'Sa"", 'Leona', 'Syndra', 'Zac')",3,0,3
"('Alistar', 'Corki', ""K'Sante"", ""Kai'Sa"", 'Kindred')",0,3,3
"('Jayce', 'Nautilus', 'Taliyah', 'Tristana', 'Varus')",3,0,3
"('Akshan', 'Gragas', 'Jinx', 'Nautilus', 'Nidalee')",0,3,3
"('Aatrox', 'Ekko', 'Jayce', 'Jhin', 'Nautilus')",3,0,3
"('Ezreal', 'Hwei', 'Seraphine', 'Skarner', 'Vi')",3,0,3
"('Graves', 'Irelia', 'Jinx', 'Katarina', 'Lulu')",3,0,3
"('Blitzcrank', 'Ivern', ""K'Sante"", ""Kog'Maw"", 'Yone')",0,3,3
"('Ahri', 'Camille', 'Fiddlesticks', 'Jhin', 'Thresh')",3,0,3
"('Camille', ""Kai'Sa"", 'Karthus', 'Tristana', 'Zac')",0,3,3
"(""Kai'Sa"", 'Malphite', 'Nidalee', 'Rell', 'Tristana')",3,0,3
"('Ekko', 'Kled', 'Pyke', 'Tristana', 'Twisted Fate')",3,0,3
"('Anivia', 'Rell', 'Rumble', 'Viego', 'Zeri')",0,3,3
"('Camille', 'Katarina', 'Nautilus', ""Rek'Sai"", 'Smolder')",0,3,3
"('Camille', 'Hwei', ""Kai'Sa"", 'Urgot', 'Zac')",3,0,3
"('Ashe', 'Jax', 'Lee Sin', 'Lissandra', 'Rakan')",3,0,3
"('Graves', 'Hwei', ""Kai'Sa"", 'Kennen', 'Nami')",0,3,3
"(""Kai'Sa"", 'Nidalee', 'Rell', 'Renekton', 'Taliyah')",3,0,3
"('Gwen', 'Jayce', 'Lucian', 'Milio', 'Zac')",3,0,3
"('Ashe', 'Graves', 'Irelia', 'Renata Glasc', 'Taliyah')",3,0,3
"('Gnar', ""Kai'Sa"", 'Katarina', 'Poppy', 'Zac')",0,3,3
"('Cassiopeia', 'Master Yi', 'Pyke', 'Skarner', 'Twisted Fate')",3,0,3
"('Ashe', 'Ekko', 'Mordekaiser', 'Rell', 'Tryndamere')",3,0,3
"('Akshan', 'Kennen', 'Pyke', 'Vi', 'Xayah')",3,0,3
"('Ashe', 'Aurelion Sol', 'Blitzcrank', 'Gangplank', 'Lee Sin')",0,3,3
"('Camille', ""Kai'Sa"", 'Lee Sin', 'Nautilus', 'Twisted Fate')",0,3,3
"('Blitzcrank', 'Corki', 'Lee Sin', 'Varus', 'Vladimir')",3,0,3
"(""Kai'Sa"", 'Pyke', ""Rek'Sai"", 'Warwick', 'Zoe')",3,0,3
"('Graves', ""Kai'Sa"", 'Malphite', 'Nautilus', 'Orianna')",0,3,3
"('Graves', ""Kai'Sa"", 'Rakan', 'Skarner', 'Twisted Fate')",3,0,3
"('Brand', 'Caitlyn', 'Gragas', 'Katarina', 'Nautilus')",3,0,3
"('Ashe', 'Nasus', 'Pyke', 'Talon', 'Ziggs')",3,0,3
"(""Kai'Sa"", 'Lee Sin', 'Skarner', 'Sylas', 'Zac')",3,0,3
"('Graves', ""Kai'Sa"", 'Nocturne', 'Pyke', 'Zoe')",3,0,3
"('Alistar', 'Hwei', 'Skarner', 'Varus', 'Vayne')",0,3,3
"('Ashe', 'Diana', 'Fiora', 'Graves', 'Seraphine')",0,3,3
"('Annie', 'Cassiopeia', 'Jax', 'Lux', 'Varus')",3,0,3
"('Caitlyn', 'Lillia', 'Lux', 'Malphite', 'Tristana')",3,0,3
"('Aatrox', 'Alistar', 'Aurelion Sol', 'Corki', 'Lillia')",0,3,3
"('Aphelios', 'Nidalee', 'Olaf', 'Thresh', 'Zed')",3,0,3
"('Camille', 'Nautilus', 'Taliyah', 'Varus', 'Yasuo')",0,3,3
"('Ahri', 'Caitlyn', 'Gnar', 'Kindred', 'Pyke')",3,0,3
"('Ashe', 'Renekton', 'Skarner', 'Taliyah', 'Zed')",3,0,3
"(""Kai'Sa"", 'Pantheon', 'Rell', 'Syndra', 'Xin Zhao')",3,0,3
"('Corki', 'Draven', 'Nidalee', 'Ornn', 'Poppy')",3,0,3
"('Graves', 'Jinx', 'Malzahar', 'Nautilus', 'Rumble')",0,3,3
"('Aatrox', 'Jhin', 'Katarina', 'Leona', 'Nidalee')",3,0,3
"('Akali', 'Camille', 'Jinx', 'Pantheon', 'Thresh')",3,0,3
"('Graves', 'Orianna', 'Ornn', 'Seraphine', 'Skarner')",0,3,3
"('Diana', 'Draven', 'Hecarim', 'Mordekaiser', 'Poppy')",3,0,3
"('Dr. Mundo', ""Kai'Sa"", 'LeBlanc', 'Skarner', 'Viego')",0,3,3
"('Jayce', 'Nautilus', 'Orianna', 'Samira', 'Udyr')",3,0,3
"('Diana', 'Jinx', 'Lee Sin', 'Nasus', 'Nautilus')",3,0,3
"('Lillia', 'Nautilus', 'Ornn', 'Varus', 'Zed')",3,0,3
"('Camille', 'Draven', 'Riven', 'Syndra', 'Viego')",0,3,3
"('Alistar', 'Camille', ""Kai'Sa"", 'Nidalee', 'Riven')",3,0,3
"('Graves', 'Jhin', ""K'Sante"", 'Neeko', 'Xerath')",3,0,3
"('Cassiopeia', 'Dr. Mundo', 'Gragas', 'Pantheon', 'Pyke')",3,0,3
"('Jayce', 'Karthus', 'Nautilus', 'Skarner', 'Varus')",3,0,3
"('Akshan', 'Cassiopeia', 'Lux', ""Rek'Sai"", 'Rumble')",3,0,3
"('Ashe', 'Jax', 'LeBlanc', 'Milio', 'Vi')",0,3,3
"('Draven', ""K'Sante"", 'Lee Sin', 'Nautilus', ""Vel'Koz"")",0,3,3
"('Jinx', 'Ornn', 'Seraphine', 'Skarner', 'Viego')",3,0,3
"('Azir', 'Bard', 'Riven', 'Taliyah', 'Zeri')",0,3,3
"('Ezreal', 'Gnar', 'Leona', 'Pantheon', 'Taliyah')",3,0,3
"('Jinx', 'Pantheon', ""Rek'Sai"", 'Tahm Kench', 'Twisted Fate')",3,0,3
"('Corki', 'Hwei', 'Lillia', 'Rell', 'Urgot')",3,0,3
"('Ekko', ""Kai'Sa"", 'Nautilus', 'Twisted Fate', 'Yone')",3,0,3
"('Fiddlesticks', 'Jhin', 'Pantheon', 'Rumble', 'Talon')",0,3,3
"('Irelia', 'Riven', 'Rumble', 'Talon', 'Varus')",3,0,3
"('Aatrox', 'LeBlanc', 'Pantheon', 'Pyke', 'Zeri')",3,0,3
"(""Kai'Sa"", 'Nidalee', 'Pyke', 'Riven', 'Twisted Fate')",0,3,3
"('Camille', 'Hwei', 'Nautilus', 'Rengar', 'Zeri')",3,0,3
"('Hwei', 'Irelia', 'Jinx', ""Kha'Zix"", 'Nautilus')",3,0,3
"('Corki', 'Elise', 'Jayce', 'Rell', 'Tristana')",0,3,3
"('Akshan', 'Fiddlesticks', 'Jinx', 'Skarner', 'Viego')",0,3,3
"('Ashe', 'Braum', 'Rumble', 'Twisted Fate', 'Viego')",3,0,3
"('Ahri', 'Camille', ""Kha'Zix"", 'Lucian', 'Taric')",0,3,3
"('Azir', 'Fiora', 'Lulu', 'Twitch', 'Vi')",0,3,3
"('Gragas', 'Graves', ""Kai'Sa"", 'Pyke', 'Viktor')",3,0,3
"('Blitzcrank', 'Corki', 'Elise', 'Jayce', 'Zeri')",3,0,3
"('Kindred', 'Leona', 'Miss Fortune', 'Skarner', 'Taliyah')",0,3,3
"('Fiddlesticks', 'Senna', 'Seraphine', 'Tryndamere', 'Viego')",3,0,3
"('Ahri', 'Ashe', 'Pyke', 'Skarner', 'Vi')",3,0,3
"('Caitlyn', 'Ekko', 'Irelia', 'Lux', 'Twisted Fate')",0,3,3
"('Fiora', 'Ryze', 'Sejuani', 'Soraka', 'Varus')",0,3,3
"('Ahri', ""Kai'Sa"", 'Rell', 'Renekton', 'Taliyah')",3,0,3
"('Caitlyn', 'Camille', 'Galio', 'Kennen', 'Viego')",3,0,3
"('Alistar', 'Brand', 'Ezreal', 'Nasus', 'Yone')",3,0,3
"('Corki', ""Kai'Sa"", 'Rell', 'Rumble', 'Zac')",0,3,3
"('Jinx', 'Maokai', 'Rumble', 'Thresh', 'Tryndamere')",3,0,3
"('Akshan', 'Galio', 'Rakan', 'Xin Zhao', 'Zeri')",0,3,3
"('Kennen', ""Kha'Zix"", 'Rell', 'Syndra', 'Varus')",0,3,3
"('Jinx', 'Kindred', 'Nautilus', 'Qiyana', 'Rumble')",0,3,3
"('Blitzcrank', 'Fiora', 'Graves', 'Jinx', 'Twisted Fate')",3,0,3
"('Jax', 'Karthus', 'Nautilus', 'Senna', 'Tristana')",0,3,3
"('Ashe', 'Hwei', 'Jax', 'Olaf', 'Tahm Kench')",3,0,3
"('Ashe', 'Kindred', 'LeBlanc', 'Rakan', 'Renekton')",3,0,3
"('Cassiopeia', 'Draven', 'Graves', 'Hwei', 'Pyke')",3,0,3
"('Ashe', 'Aurelion Sol', 'Hecarim', ""K'Sante"", 'Seraphine')",3,0,3
"('Caitlyn', 'Cassiopeia', 'Qiyana', 'Rumble', 'Twisted Fate')",0,3,3
"('Ahri', 'Ashe', ""K'Sante"", 'Lee Sin', 'Seraphine')",0,3,3
"('Kindred', 'LeBlanc', 'Neeko', 'Varus', 'Xerath')",3,0,3
"('Ashe', 'Camille', 'Nidalee', 'Skarner', 'Tristana')",3,0,3
"('Ahri', 'Ashe', 'Nidalee', 'Quinn', 'Seraphine')",3,0,3
"('Blitzcrank', 'Cassiopeia', 'Corki', 'Graves', 'Irelia')",3,0,3
"('Kled', 'Nautilus', 'Varus', 'Yone', 'Zyra')",3,0,3
"(""Kai'Sa"", 'Lee Sin', 'Nautilus', 'Skarner', 'Twisted Fate')",3,0,3
"('Gragas', 'Irelia', 'Nidalee', 'Rell', 'Xayah')",0,3,3
"('Alistar', 'Camille', 'Graves', ""Kai'Sa"", 'Zoe')",3,0,3
"('Alistar', 'Gwen', 'Pantheon', 'Smolder', 'Yasuo')",3,0,3
"(""K'Sante"", 'Nautilus', 'Tristana', 'Viego', 'Ziggs')",3,0,3
"('Ahri', 'Camille', ""Kai'Sa"", 'Riven', 'Xin Zhao')",3,0,3
"('Lillia', 'Nautilus', 'Riven', 'Tristana', 'Varus')",0,3,3
"('Gragas', 'Lee Sin', 'Senna', 'Varus', 'Warwick')",3,0,3
"(""Kog'Maw"", 'Pyke', 'Renekton', 'Syndra', 'Vi')",3,0,3
"('Corki', ""K'Sante"", 'Nautilus', 'Sylas', 'Taliyah')",0,3,3
"('Braum', 'Camille', 'Draven', 'Sejuani', 'Sylas')",3,0,3
"('Akali', ""K'Sante"", 'Lucian', 'Nami', 'Vi')",0,3,3
"('Camille', 'Corki', 'Gragas', 'Neeko', 'Twisted Fate')",0,3,3
"('Corki', 'Nautilus', 'Taliyah', 'Vayne', 'Viego')",3,0,3
"('Akshan', 'Jhin', 'Nautilus', 'Nunu & Willump', 'Riven')",0,3,3
"('Camille', 'Diana', 'Jayce', 'Nautilus', 'Smolder')",0,3,3
"('Caitlyn', 'Galio', 'Graves', 'Nautilus', 'Rumble')",3,0,3
"('Ashe', 'Braum', 'Graves', 'Katarina', 'Viego')",0,3,3
"('Bard', 'Gnar', 'Hwei', 'Nidalee', 'Zeri')",3,0,3
"('Orianna', 'Pantheon', 'Rell', 'Twisted Fate', 'Zeri')",3,0,3
"('Graves', 'Irelia', ""Kai'Sa"", 'Sona', 'Volibear')",3,0,3
"('Ekko', ""K'Sante"", ""Kai'Sa"", 'Pyke', 'Viego')",2,1,3
"('Alistar', 'Diana', 'Draven', 'Gragas', 'Pantheon')",3,0,3
"('Jayce', 'Kalista', 'Nautilus', 'Pantheon', 'Taliyah')",0,3,3
"('Ahri', 'Aphelios', 'Hecarim', 'Rumble', 'Taric')",0,3,3
"('Ashe', 'Hwei', ""Rek'Sai"", 'Varus', 'Vayne')",3,0,3
"('Rakan', ""Rek'Sai"", 'Rumble', 'Twitch', 'Yone')",0,3,3
"(""K'Sante"", ""Kai'Sa"", 'LeBlanc', 'Nautilus', 'Pantheon')",3,0,3
"('Ashe', 'Irelia', 'Pyke', 'Renekton', 'Taliyah')",3,0,3
"('Corki', 'Hwei', 'Illaoi', 'Rakan', 'Viego')",3,0,3
"('Jayce', 'Nidalee', 'Rakan', 'Twisted Fate', 'Xayah')",3,0,3
"('Camille', 'Katarina', 'Lucian', 'Milio', 'Viego')",0,3,3
"('Draven', 'Graves', 'Kennen', 'Nautilus', 'Twisted Fate')",3,0,3
"('Neeko', 'Nunu & Willump', 'Tristana', 'Varus', 'Yone')",3,0,3
"('Ezreal', 'Katarina', 'Rell', 'Viego', 'Yone')",3,0,3
"('Camille', 'Jayce', 'Jhin', 'Nidalee', 'Rumble')",0,3,3
"('Aatrox', 'Jinx', 'Kindred', 'Taliyah', 'Thresh')",3,0,3
"('Corki', 'Jinx', 'Pyke', 'Twisted Fate', 'Volibear')",3,0,3
"('Aphelios', 'Corki', 'Fiddlesticks', 'Nami', 'Riven')",3,0,3
"('Jax', ""Kai'Sa"", 'Orianna', 'Rell', 'Xin Zhao')",0,3,3
"('Ahri', 'Ashe', 'Braum', 'Camille', 'Lee Sin')",1,2,3
"('Jinx', 'Lee Sin', 'Rell', 'Taliyah', 'Tristana')",3,0,3
"('Corki', 'Jayce', 'Lee Sin', 'Lillia', 'Rell')",3,0,3
"('Ahri', 'Fiora', 'Pantheon', 'Pyke', 'Varus')",3,0,3
"('Lucian', 'Milio', 'Nidalee', 'Renekton', 'Tristana')",0,3,3
"('Fiddlesticks', 'Jax', 'Rell', 'Tristana', 'Varus')",3,0,3
